4.875	318::Shawshank Redemption, The (1994)::Drama::肖申克的救赎::9.5
4.732	5194::Who's Singin' Over There? (a.k.a. Who Sings Over There) (Ko to tamo peva) (1980)::Comedy::谁在那儿歌唱？::8.7
4.718	527::Schindler's List (1993)::Drama|War::辛德勒的名单::9.3
4.700	50::Usual Suspects, The (1995)::Crime|Mystery|Thriller::非常嫌疑犯::8.5
4.688	44555::Lives of Others, The (Das Leben der Anderen) (2006)::Drama::窃听风暴::9
4.676	904::Rear Window (1954)::Mystery|Thriller::后窗::8.3
4.644	2571::Matrix, The (1999)::Action|Sci-Fi|Thriller::黑客帝国::8.7
4.641	1198::Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)::Action|Adventure::夺宝奇兵::7.8
4.631	950::Thin Man, The (1934)::Comedy|Mystery::瘦子::7.7
4.604	3819::Tampopo (1985)::Comedy::蒲公英::8.3
4.603	1196::Star Wars: Episode V - The Empire Strikes Back (1980)::Action|Adventure|Sci-Fi::星球大战2：帝国反击战::8.2
4.594	745::Wallace & Gromit: A Close Shave (1995)::Animation|Children|Comedy::超级无敌掌门狗：剃刀边缘::8.8
4.592	6896::Shoah (1985)::Documentary|War::浩劫::9
4.591	908::North by Northwest (1959)::Adventure|Mystery|Thriller::西北偏北::8.1
4.589	8516::Matter of Life and Death, A (Stairway to Heaven) (1946)::Comedy|Fantasy|Romance::平步青云::7.2
4.581	1212::Third Man, The (1949)::Film-Noir|Mystery|Thriller::第三人::8.1
4.578	3030::Yojimbo (1961)::Action|Comedy|Crime|Drama|Thriller::用心棒::8.6
4.575	32853::Sorrow and the Pity, The (Chagrin et la pitié, Le) (1969)::Documentary|War::悲哀和怜悯::8.3
4.574	2324::Life Is Beautiful (La Vita è bella) (1997)::Comedy|Drama|Romance|War::美丽人生::9.4
4.571	6016::City of God (Cidade de Deus) (2002)::Action|Crime|Drama::上帝之城::8.9
4.566	858::Godfather, The (1972)::Crime|Drama::教父::9.2
4.562	2959::Fight Club (1999)::Action|Crime|Drama|Thriller::搏击俱乐部::9.1
4.561	260::Star Wars: Episode IV - A New Hope (a.k.a. Star Wars) (1977)::Action|Adventure|Sci-Fi::星球大战::8.2
4.558	593::Silence of the Lambs, The (1991)::Crime|Horror|Thriller::沉默的羔羊::8.6
4.556	668::Pather Panchali (1955)::Drama::大地之歌::8.7
